Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 17_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
Season,Age,Team,Lg,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
2024,22,CIN,NFL,RT,15,13,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,8,
2025,23,CIN,NFL,OT,17,17,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,9,
2 Yrs,2 Yrs,2 Yrs,2 Yrs,,32,30,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,17,
17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17,16,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,9,
