Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 17_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
Season,Age,Team,Lg,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
2024,22,SEA,NFL,NT,14,9,0,0,0,0,0,0,0,0,0,0,0.5,36,12,24,2,1,0,5,
2025,23,SEA,NFL,DT,17,17,0,0,0,0,0,0,0,0,0,0,7.0,62,22,40,7,13,0,9,
2 Yrs,2 Yrs,2 Yrs,2 Yrs,,31,26,0,0,0,0,0,0,0,0,0,0,7.5,98,34,64,9,14,0,14,
17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17,14,0,0,0,0,0,0,0,0,0,0,4.1,54,19,35,5,8,0,7,
