Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 17_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
Season,Age,Team,Lg,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
2024,23,PHI,NFL,LCB,16,16,0,0,0,0,12,0,0,0,0,0,0.0,46,37,9,0,0,0,6,AP DRoY-2
2025,24,PHI,NFL,CB,16,16,0,0,0,0,17,0,0,1,6,0,0.0,45,35,10,0,0,0,13,"PB,AP-1"
2 Yrs,2 Yrs,2 Yrs,2 Yrs,,32,32,0,0,0,0,29,0,0,1,6,0,0.0,91,72,19,0,0,0,19,
17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17,17,0,0,0,0,15,0,0,1,3,0,0.0,48,38,10,0,0,0,10,
