Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 17_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
Season,Age,Team,Lg,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
2024,23,DAL,NFL,LT,15,11,0,0,0,0,0,0,1,1,-5,0,0.0,0,0,0,0,0,0,4,
2025,24,DAL,NFL,OT,10,10,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,6,
2 Yrs,2 Yrs,2 Yrs,2 Yrs,,25,21,0,0,0,0,0,0,1,1,-5,0,0.0,0,0,0,0,0,0,10,
17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17,14,0,0,0,0,0,0,1,1,-3,0,0.0,0,0,0,0,0,0,5,
