Season,Age,Team,Lg,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards
2025,22,MIN,NFL,QB,10,10,6-4-0,140,243,57.6,1632,11,4.5,12,4.9,80,41.1,62,6.7,5.4,11.7,163.2,72.6,35.7,27,149,10.0,5.49,4.31,1,1,4,
1 Yr,1 Yr,1 Yr,1 Yr,,10,10,6-4-0,140,243,57.6,1632,11,4.5,12,4.9,80,41.1,62,6.7,5.4,11.7,163.2,72.6,,27,149,10.0,5.49,4.31,1,1,4,
17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17,17,10-7,238,413,57.6,2774,19,4.5,20,4.9,136,41.1,62,6.7,5.4,11.7,163.2,72.6,,46,253,10.0,5.49,4.31,2,2,4,
