Season,Age,Team,Lg,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards
2024,24,WAS,NFL,QB,17,17,12-5-0,331,480,69.0,3568,25,5.2,9,1.9,170,47.1,86,7.4,7.63,10.8,209.9,100.1,67.7,47,238,8.92,6.32,6.5,4,4,20,"PB,AP MVP-7,AP OPoY-17,AP ORoY-1"
2025,25,WAS,NFL,QB,7,7,2-5-0,114,188,60.6,1262,8,4.3,3,1.6,59,44.7,50,6.7,6.85,11.1,180.3,88.1,44.7,18,79,8.74,5.74,5.86,0,0,6,
2 Yrs,2 Yrs,2 Yrs,2 Yrs,,24,24,14-10-0,445,668,66.6,4830,33,4.9,12,1.8,229,46.4,86,7.2,7.41,10.9,201.3,96.7,,65,317,8.87,6.16,6.32,4,4,26,
17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17,17,10-7,315,473,66.6,3421,23,4.9,9,1.8,162,46.4,86,7.2,7.41,10.9,201.3,96.7,,46,225,8.87,6.16,6.32,3,3,13,
