Season,Age,Team,Lg,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards
2024,23,CHI,NFL,QB,17,17,5-12-0,351,562,62.5,3541,20,3.6,6,1.1,171,40.3,47,6.3,6.53,10.1,208.3,87.8,43.3,68,466,10.79,4.88,5.09,2,1,12,AP ORoY-10
2025,24,CHI,NFL,QB,17,17,11-6-0,330,568,58.1,3942,27,4.8,7,1.2,187,42.9,65,6.9,7.34,11.9,231.9,90.1,58.3,24,165,4.05,6.38,6.76,6,6,15,
2 Yrs,2 Yrs,2 Yrs,2 Yrs,,34,34,16-18-0,681,1130,60.3,7483,47,4.2,13,1.2,358,41.6,65,6.6,6.94,11.0,220.1,89.0,,92,631,7.53,5.61,5.9,8,7,27,
17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17,17,8-9,340,565,60.3,3741,23,4.2,6,1.2,179,41.6,65,6.6,6.94,11.0,220.1,89.0,,46,315,7.53,5.61,5.9,4,3,14,
