Season,Age,Team,Lg,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards
2024,22,NWE,NFL,QB,13,12,3-9-0,225,338,66.6,2276,15,4.4,10,3.0,112,46.0,40,6.7,6.29,10.1,175.1,88.1,55.2,34,229,9.14,5.5,5.1,0,0,8,"PB,AP ORoY-8"
2025,23,NWE,NFL,QB,17,17,14-3-0,354,492,72.0,4394,31,6.3,8,1.6,203,54.7,72,8.9,9.46,12.4,258.5,113.5,77.1,47,201,8.72,7.78,8.26,1,2,18,"PB,AP-2"
2 Yrs,2 Yrs,2 Yrs,2 Yrs,,30,29,17-12-0,579,830,69.8,6670,46,5.5,18,2.2,315,51.2,72,8.0,8.17,11.5,222.3,103.1,,81,430,8.89,6.85,6.97,1,2,26,
17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17,16,10-7,328,470,69.8,3780,26,5.5,10,2.2,179,51.2,72,8.0,8.17,11.5,222.3,103.1,,46,244,8.89,6.85,6.97,1,1,13,
