Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Scrimmage,Scrimmage,Scrimmage,Scrimmage,Unnamed: 32_level_0,Unnamed: 33_level_0,Unnamed: 34_level_0
Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
2024,21,NYG,NFL,WR,15,13,170,109,1204,11.0,7,55,51.2,59,7.3,80.3,64.1,7.1,5,2,0,1,40.0,4.0,0.4,0.1,0.3,114,10.6,1206,7,1,9,"PB,AP ORoY-5"
2025,22,NYG,NFL,WR,4,4,35,18,271,15.1,2,11,45.7,48,4.5,67.8,51.4,7.7,0,0,0,0,,,,0.0,0.0,18,15.1,271,2,0,3,
2 Yrs,2 Yrs,2 Yrs,2 Yrs,,19,17,205,127,1475,11.6,9,66,50.2,59,6.7,77.6,62.0,7.2,5,2,0,1,40.0,4.0,0.4,0.1,0.3,132,11.2,1477,9,1,12,
17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17,15,183,114,1320,11.6,8,59,50.2,59,6.7,77.6,62.0,7.2,4,2,0,1,40.0,4.0,0.4,0.1,0.3,118,11.2,1322,8,1,6,
