Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 17_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
Season,Age,Team,Lg,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
2024,21,DET,NFL,RCB,16,15,0,0,0,0,10,0,0,1,-1,0,0.0,60,47,13,0,0,0,5,AP DRoY-15
2025,22,DET,NFL,CB,8,7,1,0,0,0,8,0,0,0,0,0,0.0,31,23,8,0,0,0,3,
2 Yrs,2 Yrs,2 Yrs,2 Yrs,,24,22,1,0,0,0,18,0,0,1,-1,0,0.0,91,70,21,0,0,0,8,
17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17,16,1,0,0,0,13,0,0,1,-1,0,0.0,64,50,15,0,0,0,4,
