Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 17_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
Season,Age,Team,Lg,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
2024,21,BAL,NFL,CB,15,6,1,26,1,26,13,1,0,0,0,0,0.0,33,25,8,0,0,0,2,AP DRoY-11
2025,22,BAL,NFL,CB,17,17,3,84,0,61,14,0,0,0,0,0,0.0,76,57,19,2,0,0,5,
2 Yrs,2 Yrs,2 Yrs,2 Yrs,,32,23,4,110,1,61,27,1,0,0,0,0,0.0,109,82,27,2,0,0,7,
17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17,12,2,58,1,61,14,1,0,0,0,0,0.0,58,44,14,1,0,0,4,
