Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 17_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
Season,Age,Team,Lg,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
2024,21,MIA,NFL,LB,17,1,0,0,0,0,4,0,0,0,0,0,6.0,26,16,10,8,14,0,2,AP DRoY-5
2025,22,MIA,NFL,LB,15,3,0,0,0,0,1,1,0,0,0,0,4.0,21,10,11,4,7,0,2,
2 Yrs,2 Yrs,2 Yrs,2 Yrs,,32,4,0,0,0,0,5,1,0,0,0,0,10.0,47,26,21,12,21,0,4,
17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17,2,0,0,0,0,3,1,0,0,0,0,5.3,25,14,11,6,11,0,2,
