Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 17_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
Season,Age,Team,Lg,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
2024,21,TEN,NFL,LT,17,17,0,0,0,0,0,0,0,3,4,0,0.0,0,0,0,0,0,0,7,
2025,22,TEN,NFL,OT,13,13,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,4,
2 Yrs,2 Yrs,2 Yrs,2 Yrs,,30,30,0,0,0,0,0,0,0,4,4,0,0.0,0,0,0,0,0,0,11,
17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17,17,0,0,0,0,0,0,0,2,2,0,0.0,0,0,0,0,0,0,6,
