Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Scrimmage,Scrimmage,Scrimmage,Scrimmage,Unnamed: 32_level_0,Unnamed: 33_level_0,Unnamed: 34_level_0
Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
2024,22,JAX,NFL,WR,17,16,133,87,1282,14.7,10,53,55.6,85,5.1,75.4,65.4,9.6,6,48,0,3,66.7,18,8.0,2.8,0.4,93,14.3,1330,10,0,11,"PB,AP ORoY-4"
2025,23,JAX,NFL,WR,14,14,91,48,707,14.7,2,33,47.3,46,3.4,50.5,52.7,7.8,3,21,1,2,100.0,9,7.0,1.5,0.2,51,14.3,728,3,0,7,
2 Yrs,2 Yrs,2 Yrs,2 Yrs,,31,30,224,135,1989,14.7,12,86,52.2,85,4.4,64.2,60.3,8.9,9,69,1,5,77.8,18,7.7,2.2,0.3,144,14.3,2058,13,0,18,
17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17,16,123,74,1091,14.7,7,47,52.2,85,4.4,64.2,60.3,8.9,5,38,1,3,77.8,18,7.7,2.2,0.3,79,14.3,1129,7,0,9,
