Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 17_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
Season,Age,Team,Lg,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
2024,24,LAR,NFL,ROLB,17,16,0,0,0,0,2,2,0,2,0,0,4.5,66,36,30,11,18,0,10,"PB,AP DRoY-1"
2025,25,LAR,NFL,OLB,17,17,0,0,0,0,1,3,0,0,0,0,7.5,58,35,23,11,27,0,12,PB
2 Yrs,2 Yrs,2 Yrs,2 Yrs,,34,33,0,0,0,0,3,5,0,2,0,0,12.0,124,71,53,22,45,0,22,
17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17,16,0,0,0,0,1,2,0,1,0,0,6.0,62,35,26,11,22,0,11,
