Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 17_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
Season,Age,Team,Lg,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
2024,21,MIN,NFL,OLB,16,0,1,4,0,4,1,0,0,0,0,0,3.0,20,12,8,3,5,0,2,
2025,22,MIN,NFL,OLB,17,10,0,0,0,0,3,4,0,0,0,0,8.0,66,29,37,11,15,0,7,
2 Yrs,2 Yrs,2 Yrs,2 Yrs,,33,10,1,4,0,4,4,4,0,0,0,0,11.0,86,41,45,14,20,0,9,
17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17,5,1,2,0,4,2,2,0,0,0,0,5.7,44,21,23,7,10,0,5,
