Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 17_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
Season,Age,Team,Lg,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
2024,23,ARI,NFL,DL,6,0,0,0,0,0,0,0,0,0,0,0,1.0,10,4,6,1,1,0,0,
2025,24,ARI,NFL,DL,15,12,0,0,0,0,0,0,0,1,0,0,1.0,43,15,28,4,2,0,4,
2 Yrs,2 Yrs,2 Yrs,2 Yrs,,21,12,0,0,0,0,0,0,0,1,0,0,2.0,53,19,34,5,3,0,4,
17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17,10,0,0,0,0,0,0,0,1,0,0,1.6,43,15,28,4,2,0,2,
