Season,Age,Team,Lg,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards
2024,24,ATL,NFL,QB,5,3,1-2-0,61,105,58.1,775,3,2.9,3,2.9,35,42.2,42,7.4,6.67,12.7,155.0,78.9,47.6,4,14,3.67,6.98,6.29,0,0,2,
2025,25,ATL,NFL,QB,9,9,3-6-0,166,276,60.1,1982,9,3.3,3,1.1,99,46.4,69,7.2,7.34,11.9,220.2,88.5,57.8,13,101,4.5,6.51,6.66,0,0,6,
2 Yrs,2 Yrs,2 Yrs,2 Yrs,,14,12,4-8-0,227,381,59.6,2757,12,3.1,6,1.6,134,45.2,69,7.2,7.16,12.1,196.9,85.8,,17,115,4.27,6.64,6.56,0,0,8,
17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17,15,5-12,276,463,59.6,3348,15,3.1,7,1.6,163,45.2,69,7.2,7.16,12.1,196.9,85.8,,21,140,4.27,6.64,6.56,0,0,4,
