Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Scrimmage,Scrimmage,Scrimmage,Scrimmage,Unnamed: 32_level_0,Unnamed: 33_level_0,Unnamed: 34_level_0
Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
2024,22,LVR,NFL,TE,17,16,153,112,1194,10.7,5,61,60.8,57,6.6,70.2,73.2,7.8,5,13,0,2,60.0,12,2.6,0.8,0.3,117,10.3,1207,5,0,9,"PB,AP-1,AP ORoY-2"
2025,23,LVR,NFL,TE,12,8,86,64,680,10.6,7,36,60.5,38,5.3,56.7,74.4,7.9,2,2,0,0,50.0,6,1.0,0.2,0.2,66,10.3,682,7,0,5,PB
2 Yrs,2 Yrs,2 Yrs,2 Yrs,,29,24,239,176,1874,10.6,12,97,60.7,57,6.1,64.6,73.6,7.8,7,15,0,2,57.1,12,2.1,0.5,0.2,183,10.3,1889,12,0,14,
17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17,14,140,103,1099,10.6,7,57,60.7,57,6.1,64.6,73.6,7.8,4,9,0,1,57.1,12,2.1,0.5,0.2,107,10.3,1107,7,0,7,
