Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Scrimmage,Scrimmage,Scrimmage,Scrimmage,Unnamed: 32_level_0,Unnamed: 33_level_0,Unnamed: 34_level_0
Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
2024,22,CHI,NFL,WR,17,12,101,54,734,13.6,3,37,45.5,47,3.2,43.2,53.5,7.3,3,15,0,1,66.7,8.0,5.0,0.9,0.2,57,13.1,749,3,2,6,
2025,23,CHI,NFL,WR,12,12,90,44,661,15.0,6,37,45.6,37,3.7,55.1,48.9,7.3,0,0,0,0,,,,0.0,0.0,44,15.0,661,6,0,6,
2 Yrs,2 Yrs,2 Yrs,2 Yrs,,29,24,191,98,1395,14.2,9,74,45.5,47,3.4,48.1,51.3,7.3,3,15,0,1,66.7,8.0,5.0,0.5,0.1,101,14.0,1410,9,2,12,
17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17,14,112,57,818,14.2,5,43,45.5,47,3.4,48.1,51.3,7.3,2,9,0,1,66.7,8.0,5.0,0.5,0.1,59,14.0,827,5,1,6,
